k,inertia,silhouette
2,66056.5527602942,0.22992647273589134
3,59523.23606255666,0.21508842964248195
4,51532.687705733886,0.2248609551014392
5,46154.664941214076,0.1891108095262189
6,42216.83239435536,0.1941625501579792
7,39738.65539739674,0.19154093908435554
8,36574.54724647262,0.17322584803969246
