artists,name,year,alternative_method,alternative_cluster
Max Webster,Battle Scar,1980,dbscan,0
Fleetwood Mac,"Sara - Live 1979, St. Louis, MO",1980,dbscan,0
Motörhead,Shoot You in the Back,1980,dbscan,0
Vasco Rossi,Non l'hai mica capito,1980,dbscan,0
Kuldeep Manak,Yaaran Da Truck - Kuldip Manak,1980,dbscan,0
Bruce Springsteen,Stray Bullet - Studio Outtake - 1980,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 31,1980,dbscan,0
Doce,"Ok, Ko",1980,dbscan,0
Néstor Zavarce,Cinco Pa' las Doce,1980,dbscan,0
Haris Alexiou,Ximeroni,1980,dbscan,0
Miro Žbirka,V slepých uličkách,1980,dbscan,0
Tommy J Pisa,Mulanya Biasa Saja,1980,dbscan,0
Talking Heads,The Great Curve,1980,dbscan,0
Ratih Purwasih,Aku Jatuh Cinta,1980,dbscan,0
Guillermo Davila,Cuando Se Acaba el Amor,1980,dbscan,0
Knutsen & Ludvigsen,Hallo! Hallo!,1980,dbscan,0
Obbie Messakh,Bunyikan Suara Hati,1980,dbscan,0
Nic Jones,The Little Pot Stove,1980,dbscan,0
Reginaldo Rossi,Recife,1980,dbscan,0
Doce,Café Com Sal,1980,dbscan,0
Nicola Di Bari,Agnese,1980,dbscan,0
The Cure,Play For Today,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 05,1980,dbscan,0
The Police,Voices Inside My Head,1980,dbscan,0
Irene Cara,Fame,1980,dbscan,0
The Jam,But I'm Different Now - Demo Version,1980,dbscan,0
"Giacomo Puccini, José Carreras, Fernando Corena, Berliner Philharmoniker, Herbert von Karajan","Tosca / Act 1: ""Recondita armonia""",1980,dbscan,0
C. Ashwath,Mohada Hendathi,1980,dbscan,0
Ersen ve Dadaşlar,Müdür Beyin Yeşil Kürkü,1980,dbscan,0
Steel Pulse,Caught You Dancing,1980,dbscan,0
Francis Santana,Merengue Apambichao,1980,dbscan,0
Bibi Blocksberg,Kapitel 14 - Hexerei in der Schule (Folge 002),1980,dbscan,0
Off Course,おまえもひとり,1980,dbscan,0
Rajkumar,Haalu Jenu,1980,dbscan,0
UB40,25%,1980,dbscan,0
999,L'il Red Riding Hood,1980,dbscan,0
林翠萍,褪色的相思夢,1980,dbscan,0
Billy Joel,You May Be Right,1980,dbscan,0
Chava Alberstein,עוד חוזר הניגון,1980,dbscan,0
Ratih Purwasih,Kucari Jalan Terbaik,1980,dbscan,0
"Halli og Laddi, Laddi",Ástarogsaknaðarófararharmleikur Diðriks og Júlíu í Týrol,1980,dbscan,0
Valentín Elizalde,Flor de Capomo,1980,dbscan,0
サザンオールスターズ,Tiny Bubbles(type-B),1980,dbscan,0
星河大樂隊,十八姑娘一朵花,1980,dbscan,-1
Nicola Di Bari,Zingara,1980,dbscan,0
Def Leppard,It Don't Matter,1980,dbscan,0
The Jam,Music For The Last Couple,1980,dbscan,0
Die drei ???,020 - und die flammende Spur - Teil 34,1980,dbscan,0
Louis van Dijk,Inventione,1980,dbscan,-1
Zlatá brána,Trampoty s kozami,1980,dbscan,0
"Michael Franks, Crossfire",The Lady Wants to Know - Live,1980,dbscan,0
AC/DC,Givin the Dog a Bone,1980,dbscan,0
Susanna Kwan,茫茫的風裡,1980,dbscan,0
Pat Benatar,Hit Me With Your Best Shot,1980,dbscan,0
Glenn Miller,Tuxedo Junction,1980,dbscan,0
New Musik,Straight Lines,1980,dbscan,0
Benjamin Blümchen,Kapitel 08 - und die Schule (Folge 006),1980,dbscan,-1
John Lennon,Cleanup Time - Remastered 2010,1980,dbscan,0
A Taste Of Honey,Ain't Nothin' But A Party - Remastered,1980,dbscan,0
Th' Dudes,Walking in Light,1980,dbscan,0
Zlatá brána,Múdra čiapka,1980,dbscan,0
"Jon Hassell, Brian Eno",Delta Rain Dream,1980,dbscan,-1
Player,It's For You,1980,dbscan,0
Pooh,Stagione di vento - Remastered,1980,dbscan,0
"Marcel Khalifa, Oumaima Khalil","Sleep Little One (Nami, Nami Ya Seghirreh)",1980,dbscan,0
Los Chichos,Odio - Remastered,1980,dbscan,0
Hana Laszlo,ידידי טין טן,1980,dbscan,0
Phil Lynott,Ode To A Black Man,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 28,1980,dbscan,0
天韻合唱團,一件禮物,1980,dbscan,0
Chabuca Granda,El Puente De Los Suspiros,1980,dbscan,0
"Grover Washington, Jr.",Jammin',1980,dbscan,0
"Ragnhildur Gísladóttir, Björgvin Halldórsson",Tvö ein,1980,dbscan,0
The Specials,Rat Race - 2015 Remaster,1980,dbscan,0
Yumi Matsutoya,Miss Lonely,1980,dbscan,0
Black Uhuru,Vampire,1980,dbscan,0
Fausto Rey,Tu Belleza,1980,dbscan,0
Trio Amanecer,Peru Profundo,1980,dbscan,0
Titiek Sandhora,Ratapan Anak Tiri,1980,dbscan,0
Angelika Mann,Frosch Rock'n'Roll,1980,dbscan,-1
Dead Kennedys,Let's Lynch the Landlord,1980,dbscan,-1
"Dani Litani, Shamaim Band",אני עומד לי על הגשר,1980,dbscan,0
Camilo Sesto,Qué Más Te Da,1980,dbscan,0
Air Supply,Having You Near Me,1980,dbscan,0
"Olivia Newton-John, Cliff Richard",Suddenly,1980,dbscan,0
Alan Ross,Valentino Mon Amour (Vocal),1980,dbscan,0
"France Gall, Elton John",Donner pour donner,1980,dbscan,0
Camilo Sesto,Tarde ó Temprano,1980,dbscan,0
The Nolans,Don't Make Waves,1980,dbscan,0
Steel Pulse,Shining,1980,dbscan,0
Knutsen & Ludvigsen,Til Byen,1980,dbscan,0
Albert Au,相識在童年,1980,dbscan,0
Kano,I'm Ready,1980,dbscan,0
Dato' Sudirman,Teratai Menjelma,1980,dbscan,0
Bibi Blocksberg,Kapitel 28 - Die Zauberlimonade (Folge 003),1980,dbscan,0
Zerrin Özer,Ayrılıklar Unutulmaz,1980,dbscan,0
Pecos,Señor,1980,dbscan,0
Paul Simon,"Oh, Marion",1980,dbscan,0
Bruce Springsteen,The Ties That Bind,1980,dbscan,0
Alfons Åberg,"Raska på, Alfons",1980,dbscan,0
"Pavol Hammel, Prúdy",Pod,1980,dbscan,0
Knutsen & Ludvigsen,Arm i arm med det store dyret,1980,dbscan,0
Utangarðsmenn,Hiroshima,1980,dbscan,0
Die drei ???,012 - und der seltsame Wecker - Teil 40,1980,dbscan,0
Queen,Rock It (Prime Jive),1980,dbscan,0
汪明荃,用愛將心偷 - 千王之王主題曲,1980,dbscan,0
The O'Jays,Once Is Not Enough,1980,dbscan,0
Locomotiv GT,Mozi,1980,dbscan,0
Nicola Di Bari,Guitarra Suena Mas Bajo - 2s Take 2,1980,dbscan,0
Kjell Höglund,Kärleksdans I Provence,1980,dbscan,0
Genesis,Duke's End - Remastered 2007,1980,dbscan,-1
Yumi Matsutoya,コンパートメント,1980,dbscan,0
"Barbra Streisand, Barry Gibb",Guilty (feat. Barry Gibb),1980,dbscan,0
The Beat,Can't Get Used to Losing You,1980,dbscan,0
"Nara Leão, Chico Buarque",Dueto,1980,dbscan,0
"Camille Saint-Saëns, Anne Martindale Williams, Pittsburgh Symphony Orchestra, André Previn","Le Carnaval des Animaux, R. 125: Svanen",1980,dbscan,-1
Trio Amanecer,Mala Vida,1980,dbscan,0
Bibi Blocksberg,Kapitel 23 - Die Zauberlimonade (Folge 003),1980,dbscan,0
Paul McCartney,Temporary Secretary - Remastered 2011,1980,dbscan,0
Valeriu Sterian,Cu Iubirea De Moșie,1980,dbscan,0
The Nolans,Attention to Me,1980,dbscan,0
Talking Heads,The Overload - 2005 Remaster,1980,dbscan,-1
Olivia Newton-John,Suspended In Time,1980,dbscan,0
Linda Clifford,Red Light,1980,dbscan,0
Bruce Springsteen,Hungry Heart,1980,dbscan,0
Mohammed Rafi,Tu Is Tarah Se Mere Zindagi Main,1980,dbscan,0
Ramones,Rock 'n' Roll High School - 2002 Remaster,1980,dbscan,0
Rory Gallagher,Bad Penny - Live,1980,dbscan,0
Patti Austin,Love Me Again,1980,dbscan,0
Gary Fane,Aries,1980,dbscan,0
Frații Petreuș,De Învârtit De Pe Mara,1980,dbscan,-1
"The Tallis Scholars, Peter Phillips",Palestrina: Missa Papae Marcelli - 3g. Et in Spiritum Sanctum,1980,dbscan,0
Peter Gabriel,Games Without Frontiers,1980,dbscan,0
Die drei ???,021 - und der tanzende Teufel - Teil 32,1980,dbscan,0
Rugsted & Kreutzfeldt,Tilfældigvis Forbi,1980,dbscan,0
Spinetta Jade,Amenábar,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 13,1980,dbscan,-1
Anup Ghoshal,Aha Ki Ananda,1980,dbscan,0
Die drei ???,014 - und das Bergmonster - Teil 19,1980,dbscan,-1
Die drei ???,017 - und die gefährliche Erbschaft - Teil 12,1980,dbscan,-1
美黛,意難忘,1980,dbscan,0
"Earth, Wind & Fire",You,1980,dbscan,0
サザンオールスターズ,青い空の心(No me?More no!),1980,dbscan,0
Merle Haggard,"Misery And Gin - From The ""Clint Eastwood's Bronco Billy "" Soundtrack",1980,dbscan,0
Camilo Sesto,Piel de Angel,1980,dbscan,0
S. P. Balasubrahmanyam,Kannada Naadina Rasikara,1980,dbscan,0
Lucio Dalla,Siamo Dei,1980,dbscan,0
Itoiz,Ezekielen Prophezia,1980,dbscan,0
Parveen Sultana,Humen Tumse Pyar Kitna - Female Vocals,1980,dbscan,0
Die drei ???,014 - und das Bergmonster - Teil 29,1980,dbscan,0
Sharon O'Neill,Asian Paradise,1980,dbscan,0
"Bezerra Da Silva, Genaro",Colina Maldita (feat. Genaro),1980,dbscan,0
U2,Another Time Another Place - Remastered 2008,1980,dbscan,0
The Rolling Stones,Dance (pt 1) - Remastered,1980,dbscan,0
Die drei ???,018 - und die Geisterinsel - Teil 01,1980,dbscan,0
Bryan Adams,Wastin' Time,1980,dbscan,0
Tim Maia,"Você E Eu, Eu E Você (Juntinhos)",1980,dbscan,0
De Syngende Husmødre,Jeg Venter På Deg Til Du Kommer,1980,dbscan,0
Stevie Wonder,Rocket Love,1980,dbscan,0
Fünf Freunde,010 - im Nebel - Teil 32,1980,dbscan,0
CARLOS MATA,Presiento,1980,dbscan,0
Motörhead,Shoot You in the Back - 40th Anniversary Master,1980,dbscan,0
Milton Nascimento,Itamarandiba,1980,dbscan,0
サザンオールスターズ,ジャズマン(JAZZ MAN),1980,dbscan,0
Fünf Freunde,009 - im alten Turm - Teil 07,1980,dbscan,0
UB40,Signing Off,1980,dbscan,0
"Tintin, Tomas Bolme, Bert-Åke Varg","Det svarta guldet, del 7",1980,dbscan,0
"Kishore Kumar, Asha Bhosle",Ho Jaye Phir Us Din Ka Jo Wada,1980,dbscan,0
林翠萍,不如甭熟悉,1980,dbscan,0
"George Benson, Bruce Swedien",Love Dance,1980,dbscan,0
Bruce Springsteen,From Small Things (Big Things One Day Come) - Studio Outtake - 1979,1980,dbscan,0
Die drei ???,012 - und der seltsame Wecker - Teil 04,1980,dbscan,0
Trio Amanecer,Potocchi Orccopi,1980,dbscan,0
TRUST,Saumur,1980,dbscan,-1
Pance F Pondaag,Kau Begitu Berarti,1980,dbscan,0
Bombay Sisters,Mahishasura Mardhini,1980,dbscan,-1
León Gieco,Canción De Amor Para Francisca,1980,dbscan,0
Jochy Hernandez,Te Quiero Tanto,1980,dbscan,0
Die drei ???,016 - und der Zauberspiegel - Teil 15,1980,dbscan,0
Planxty,True Love Knows No Season - Remastered 2020,1980,dbscan,0
Djavan,Morena De Endoidecer,1980,dbscan,0
Die drei ???,020 - und die flammende Spur - Teil 20,1980,dbscan,0
サザンオールスターズ,涙のアベニュー,1980,dbscan,0
"Barbra Streisand, Barry Gibb",What Kind of Fool (feat. Barry Gibb),1980,dbscan,0
Talking Heads,Once in a Lifetime,1980,dbscan,0
"Arik Einstein, Shalom Hanoch, Dafna Armoni",מחרוזת שבלול 2,1980,dbscan,0
Ramones,I Want You Around - 2002 Remaster,1980,dbscan,0
Die drei ???,011 - und das Gespensterschloss - Teil 33,1980,dbscan,0
Chris de Burgh,Some Things Never Change,1980,dbscan,0
Juan Bautista,Estoy Aqui Pero No Se Yo,1980,dbscan,0
Los Kjarkas,Ella Es,1980,dbscan,0
Dolly Parton,Old Flames Can't Hold a Candle to You,1980,dbscan,0
Louis van Dijk,Agnus Dei,1980,dbscan,0
The Beat,Hands Off...She's Mine,1980,dbscan,0
Benjamin Blümchen,Kapitel 22 - und die Schule (Folge 006),1980,dbscan,-1
Alice Cooper,Clones (We're All),1980,dbscan,0
Bubbi Morthens,MB. Rosinn,1980,dbscan,0
Pia Raug,En Ørken,1980,dbscan,0
José José,Te Quiero Tal Como Eres,1980,dbscan,0
Frank Sinatra,It Had To Be You,1980,dbscan,0
Monchy Capricho,Amor Magico,1980,dbscan,0
Alla Pugacheva,"Улетай, туча",1980,dbscan,0
Glenn Miller,Little Brown Jug,1980,dbscan,-1
Bibi Blocksberg,Kapitel 32 - Die Zauberlimonade (Folge 003),1980,dbscan,0
Globi,S' gaat wiiter mit Im Schlepptau vo me ne Wal,1980,dbscan,0
"Arik Einstein, Shalom Hanoch",סן פרנציסקו על המים,1980,dbscan,0
Globi,Im Tandem dur China,1980,dbscan,0
Kishore Kumar,Honthon Pe Jaan Chali Aayegi,1980,dbscan,0
"Sonora Ponceña, Papo Lucca",Night In Tunisia,1980,dbscan,0
July Mateo Rasputin,Macumba,1980,dbscan,0
林翠萍,毛毛雨,1980,dbscan,0
Knutsen & Ludvigsen,Knutsens drøm,1980,dbscan,0
Locomotiv GT,Játszunk,1980,dbscan,0
The Jam,Boy About Town,1980,dbscan,0
Alfons Åberg,Alfons-visan,1980,dbscan,0
Black Uhuru,Guess Who's Coming To Dinner,1980,dbscan,0
Die drei ???,018 - und die Geisterinsel - Teil 11,1980,dbscan,0
Alcione,Nzambi / Muadiakime,1981,dbscan,0
"Kishore Kumar, R. D. Burman, Anette, Sapan Chakraborty",Pariyon Ka Mela Hain - Satte Pe Satta / Soundtrack Version,1981,dbscan,0
The Passions,I'm In Love With A German Film Star,1981,dbscan,0
"Jensy, Ilaiyaraaja",Kathal Oviyam - Alaigal Oyvatillai / Soundtrack Version,1981,dbscan,0
Matt Finish,Short Note,1981,dbscan,0
Duran Duran,Is There Something I Should Know?,1981,dbscan,0
Philippe Chatel,Chanson d’Émilie Jolie et du grand oiseau - Live à l'Olympia / février 1981,1981,dbscan,-1
Goombay Dance Band,Marrakesh,1981,dbscan,0
Chris de Burgh,Spanish Train,1981,dbscan,0
Phil Collins,I Missed Again - 2015 Remastered,1981,dbscan,0
Men At Work,Down By the Sea,1981,dbscan,-1
"Lata Mangeshkar, Suresh Wadkar",Chal Chameli Baag Mein,1981,dbscan,0
George Lam,夜來香,1981,dbscan,0
Ómar Ragnarsson,Sumargleðin syngur,1981,dbscan,0
Mohammed Rafi,John Jani Janardhan - From 'Naseeb' / Soundtrack Version,1981,dbscan,0
Asha Bhosle,Justuju Jiski Thi,1981,dbscan,0
星河大樂隊,憶戀思景,1981,dbscan,0
Pino Daniele,Puorteme a casa mia - 2021 Remaster,1981,dbscan,0
Hassisen Kone,Tällä Tiellä,1981,dbscan,0
Reginaldo Rossi,Quando Você Foi Embora,1981,dbscan,0
Pat Benatar,Helter Skelter,1981,dbscan,0
Los Manseros Santiagueños,Hermano Coplero,1981,dbscan,0
"Wolfgang Amadeus Mozart, András Schiff","Piano Sonata No.18 in D, K.576: 3. Allegretto",1981,dbscan,0
Matti Caspi,אולי אהבה,1981,dbscan,-1
Fünf Freunde,014 - machen eine Entdeckung - Teil 24,1981,dbscan,-1
Louis Chedid,Chanson pour une emmerdeuse,1981,dbscan,0
王瑞瑜,寫信給我,1981,dbscan,0
Shula Chen,נדנדה,1981,dbscan,0
"Milan Lasica, Július Satinský",Telefonát od doktora Mäkčeňa,1981,dbscan,-1
Die drei ???,0028 - und der Doppelgänger - Teil 05,1981,dbscan,-1
Die drei ???,0024 - und die silberne Spinne - Teil 36,1981,dbscan,0
Billy Idol,Baby Talk,1981,dbscan,0
The Innocent,เมืองไทยแสนดี,1981,dbscan,0
Hubert-Félix Thiéfaine,113ème cigarette sans dormir - Remastered,1981,dbscan,0
"Rubén Blades, Willie Colón",Tiburón,1981,dbscan,0
Bubbi Morthens,Þú hefur valið,1981,dbscan,0
100 First Songs' Participants,אצבעות לי,1981,dbscan,0
Camilo Sesto,¿Quieres Ser Mi Amante?,1981,dbscan,0
Joy Division,The Kill - 2007 Remaster,1981,dbscan,0
Vazelina Bilopphøggers,Vaermeldingsstubben,1981,dbscan,-1
Mariana García Vigil,Yo Digo Que las Estrellas,1981,dbscan,0
U2,"October - Live, Hammersmith Palais - December 1982",1981,dbscan,-1
Nazia Hassan,Mujhe Chahey,1981,dbscan,0
Chico Buarque,O Meu Guri,1981,dbscan,0
Chava Alberstein,בובה אני,1981,dbscan,0
王瑞瑜,昔,1981,dbscan,0
"Omar Romano, Los Del Altillo","Retirada "" Diablos Verdes "" 1958 (La Teja)",1981,dbscan,0
Los Hermanos Cuestas,Canción de Puerto Sanchez,1981,dbscan,0
Yehoram Gaon,פזמון ליקינטון,1981,dbscan,0
Die drei ???,0023 - und das Aztekenschwert - Teil 32,1981,dbscan,-1
Phil Collins,I Missed Again - 2015 Remaster,1981,dbscan,0
Venom,Poison,1981,dbscan,0
TKKG Retro-Archiv,003 - Das leere Grab im Moor - Teil 10,1981,dbscan,-1
Ozzy Osbourne,Over the Mountain,1981,dbscan,0
"Gustav Holst, Berliner Philharmoniker, Herbert von Karajan, RIAS Kammerchor","The Planets, Op. 32: 7. Neptune, the Mystic",1981,dbscan,-1
Los Del Altillo,"Retirada "" Araca la Cana "" 1954 (Paso Molino)",1981,dbscan,0
"Wolfgang Amadeus Mozart, András Schiff","Piano Sonata No.14 in C minor, K.457: 1. Molto allegro",1981,dbscan,0
Clara Nunes,Minha Missão,1981,dbscan,0
"Мими Иванова, ВИГ Старт",Лодка в реката,1981,dbscan,0
The Police,One World (Not Three),1981,dbscan,0
Camilo Sesto,Con el Viento a Tu Favor,1981,dbscan,0
Juice Leskinen,Öljyshake,1981,dbscan,0
Queen,Another One Bites The Dust - Remastered 2011,1981,dbscan,0
Stray Cats,Runaway Boys,1981,dbscan,0
Ebba Grön,Mord i mina tankar,1981,dbscan,0
King Crimson,Discipline,1981,dbscan,0
Grauzone,Der Weg Zu Zweit,1981,dbscan,0
The Cure,The Holy Hour,1981,dbscan,0
Bappi Lahiri,Dekha Hai Maine Tumhe - From 'Wardat' / Soundtrack Version,1981,dbscan,0
Corbeau,J'lâche pas,1981,dbscan,0
Mods,Revansj,1981,dbscan,0
Elán,Belasy let,1981,dbscan,0
"Tom Petty and the Heartbreakers, Stevie Nicks",Insider,1981,dbscan,0
KICK,Kule Damer,1981,dbscan,0
Stars On 45,Stars On 45 - Original Single Edit,1981,dbscan,0
Dick Gaughan,The World Turned Upside Down,1981,dbscan,0
De Strangers,Stad On De Schelde,1981,dbscan,0
Avner Gadasi,מנגן ושר,1981,dbscan,0
Queen,Somebody To Love - Remastered 2011,1981,dbscan,0
Naomi Shemer,אין דבר,1981,dbscan,0
Paco de Lucía,En La Caleta,1981,dbscan,0
Alberto Camerini,Rock 'n' Roll Robot,1981,dbscan,0
Jagjit Singh,Yada Yada He Dharmasys,1981,dbscan,0
Traditional,"Nina, Buschi, schlof",1981,dbscan,0
"Maze, Frankie Beverly",The Look In Your Eyes - Live,1981,dbscan,0
Giannis Kalatzis,O Epipoleos,1981,dbscan,0
Luther Vandross,Never Too Much,1981,dbscan,0
Queen,We Are The Champions,1981,dbscan,0
TKKG Retro-Archiv,006 - Angst in der 9a - Teil 24,1981,dbscan,0
T-Shirts,Walk On Water,1981,dbscan,0
Lara Li,Telepatia,1981,dbscan,-1
"Evelyn ""Champagne"" King",I'm In Love,1981,dbscan,0
Terje Tysland,Ringdans,1981,dbscan,0
Fünf Freunde,013 - jagen die Entführer - Titel 18,1981,dbscan,0
Johnny Ip,笛子姑娘,1981,dbscan,0
Diane Dufresne,Oxygène - Remastered edition,1981,dbscan,0
Bobby Valentin,No Me Conoces,1981,dbscan,0
The Go-Go's,We Got The Beat,1981,dbscan,0
"Dottie West, Kenny Rogers",What Are We Doin' In Love!,1981,dbscan,0
Los Secretos,Ojos De Perdida,1981,dbscan,0
Doğan Canku,Marmaris,1981,dbscan,0
Whitesnake,Come an' Get It - 2011 Remaster,1981,dbscan,0
Bubbi Morthens,Chile,1981,dbscan,-1
Carpenters,I Believe You,1981,dbscan,0
BZN,May We Always Be Together,1981,dbscan,0
Lowell Lo,小丑,1981,dbscan,0
Serge Gainsbourg,Bana Basadi Balalo,1981,dbscan,0
The Moody Blues,Nervous,1981,dbscan,0
Teresa Teng,賣肉粽(台語),1981,dbscan,0
Eldkvarn,Ett fall av kärlek,1981,dbscan,0
Joan Armatrading,I'm Lucky,1981,dbscan,0
Sad Lovers & Giants,Things We Never Did,1981,dbscan,0
Grateful Dead,Monkey and the Engineer - Live,1981,dbscan,0
"Big Tom, The Travellers",Four Country Roads,1981,dbscan,0
KSMB,Förord till livet,1981,dbscan,0
"Kishore Kumar, Lata Mangeshkar",Kasme Vaade Nibhayenge Hum - Part II - Kasme Vaade / Soundtrack Version,1981,dbscan,0
Electric Light Orchestra,Rain Is Falling,1981,dbscan,0
Fünf Freunde,012 - auf der Felseninsel - Teil 19,1981,dbscan,0
Garland Jeffreys,96 Tears,1981,dbscan,0
Rick James,Ghetto Life,1981,dbscan,0
The Rolling Stones,Waiting On A Friend - Remastered,1981,dbscan,0
Phil Collins,In The Air Tonight - Live,1981,dbscan,0
The Golden Ali'is,Lau'i'ula,1981,dbscan,0
Juan Gabriel,"Canta, Canta",1981,dbscan,0
Iwan Fals,Bung Hatta,1981,dbscan,0
Duran Duran,Girls on Film - Night Mix; Extended Version,1981,dbscan,0
New Order,Dreams Never End - 2019 Remaster,1981,dbscan,0
Sleepy Sleepers,P-Piisi,1981,dbscan,0
"Johann Sebastian Bach, The English Concert, Trevor Pinnock","Concerto For Harpsichord, Strings, And Continuo No.5 In F Minor, BWV 1056: 2. Largo",1981,dbscan,-1
Australian Crawl,Easy On Your Own - Remastered,1981,dbscan,0
HaClique,גולם,1981,dbscan,0
Roberto Carlos,Olhando Estrelas - Versão Remasterizada,1981,dbscan,0
Black Uhuru,General Penitentiary,1981,dbscan,0
Gyllene Tider,Gyllene Tider för rock'n'roll - Swing & Sweet EP,1981,dbscan,0
Fear,New York's Alright If You Like Saxophones,1981,dbscan,0
Pretenders,I Go to Sleep - 2006 Remaster,1981,dbscan,0
Fünf Freunde,016 - auf dem Leuchtturm - Teil 04,1981,dbscan,0
Die drei ???,0025 - und die singende Schlange - Teil 17,1981,dbscan,0
TKKG Retro-Archiv,001 - Die Jagd nach den Millionendieben - Teil 12,1981,dbscan,0
Die drei ???,0024 - und die silberne Spinne - Teil 30,1981,dbscan,0
Doce,Dói-Dói,1981,dbscan,0
Eddie Palmieri,Páginas De Mujer,1981,dbscan,0
Genesis,Me and Sarah Jane - 2007 Remaster,1981,dbscan,0
Nil Burak,Kırk Yılda Bir,1981,dbscan,0
Elly & Rikkert,Vijf Broden en Twee Vissen,1981,dbscan,0
TKKG Retro-Archiv,006 - Angst in der 9a - Teil 16,1981,dbscan,0
TKKG Retro-Archiv,004 - Das Paket mit dem Totenkopf - Teil 02,1981,dbscan,0
Taxi,TVWC,1981,dbscan,0
Sezen Aksu,Biliyorsun,1981,dbscan,0
Sibel Egemen,Böyle Bir Rastlantı,1981,dbscan,0
Los Reales del Valle,El Farolito,1981,dbscan,0
Virus,"Soy Moderno, No Fumo",1981,dbscan,0
Die drei ???,0025 - und die singende Schlange - Teil 24,1981,dbscan,0
"羅吉鎮, 李碧華",神話,1981,dbscan,0
Die drei ???,0027 - und der magische Kreis - Teil 13,1981,dbscan,0
"Pelle Svanslös, James Hollingworth's Choir",Pelle-visan,1981,dbscan,0
Sergio Godinho,É Terça-Feira,1981,dbscan,0
"Andreas Vollenweider, Walter Keiser, Pedro Haldemann, Jon Otis",Skin and Skin,1981,dbscan,0
Tom Tom Club,Genius of Love,1981,dbscan,0
Los Shapis,Si No Regresas,1981,dbscan,0
Commodores,Lucy,1981,dbscan,0
Fünf Freunde,011 - geraten in Schwierigkeiten - Teil 07,1981,dbscan,0
"Lata Mangeshkar, Kishore Kumar","Dekha Ek Khwab, Pt. 1",1981,dbscan,0
"Luiz Gonzaga, Gonzaguinha",Juazeiro / No Meu Pé De Serra / Estrada Do Canindé / Riacho Do Navio / Papo - Ao Vivo,1981,dbscan,0
Eddie Palmieri,Ritmo Alegre,1981,dbscan,-1
Traditional,Schneeglöggli lüüt,1981,dbscan,0
Alberto Pérez,La Tormenta,1981,dbscan,-1
Quincy Jones,Betcha Wouldn't Hurt Me - Extended Version,1981,dbscan,0
Die drei ???,0024 - und die silberne Spinne - Teil 20,1981,dbscan,0
Patti Austin,The Way I Feel,1981,dbscan,0
Sammy Hagar,I'll Fall In Love Again,1981,dbscan,0
"Wolfgang Amadeus Mozart, András Schiff","Piano Sonata No.10 in C major, K.330: 1. Allegro moderato",1981,dbscan,0
"Wolfgang Amadeus Mozart, András Schiff","Piano Sonata No.18 in D, K.576: 2. Adagio",1981,dbscan,0
Fünf Freunde,016 - auf dem Leuchtturm - Teil 24,1981,dbscan,0
KSMB,Rövarnas visa,1981,dbscan,0
Queen,Play The Game,1981,dbscan,0
TKKG Retro-Archiv,002 - Der blinde Hellseher - Teil 21,1981,dbscan,0
"The Rolling Stones, Bob Clearmountain",Neighbours,1981,dbscan,0
Ramones,This Business Is Killing Me - 2002 Remaster,1981,dbscan,0
"Milan Lasica, Július Satinský",Krehkáč a Drsniak,1981,dbscan,-1
The Cure,The Funeral Party - 2005 Remaster,1981,dbscan,0
"Milan Lasica, Július Satinský",Nad listama našich dyvákú,1981,dbscan,-1
Duran Duran,Night Boat - 2010 Remaster,1981,dbscan,0
Die drei ???,0026 - und die Silbermine - Teil 12,1981,dbscan,0
Virus,Wadu Wadu,1981,dbscan,0
George Strait,Her Goodbye Hit Me In The Heart,1981,dbscan,0
Bob Seger,Tryin' To Live My Life Without You - Live/Remastered,1981,dbscan,0
Bubbi Morthens,Heróín,1981,dbscan,0
Karla De Vito,Cool World,1981,dbscan,0
Almir Sater,Estradeiro,1981,dbscan,0
Nurit Galron,כולנו זקוקים לחסד,1981,dbscan,0
U2,Gloria - Live - Hammersmith Palais - December 1982),1981,dbscan,0
Sam Hui,笑就算,1981,dbscan,0
Serú Girán,Salir De La Melancolía,1981,dbscan,0
Juice Leskinen,Taivaan tuuliin,1981,dbscan,-1
Andre Hazes,Laat Mij Alleen,1981,dbscan,0
Marianne Faithfull,So Sad,1981,dbscan,0
Reijo Kallio,Sinua sinua ainoastaan,1981,dbscan,0
"Barry Hughes, De Kwaffeurs",Ik Wil Op M'n Kop Een Kamerbreed Tapijt,1981,dbscan,0
Drahdiwaberl,Mad Cat Sadie,1981,dbscan,0
Smokey Robinson,Being With You,1981,dbscan,0
Men At Work,Down Under,1981,dbscan,0
Grupo Fundo De Quintal,Bebeto Loteria,1981,dbscan,0
Fünf Freunde,015 - ...wittern ein Geheimnis - Teil 32,1981,dbscan,0
Die drei ???,022 - und der verschwundene Schatz - Teil 21,1981,dbscan,0
Debbie Harry,Backfired,1981,dbscan,0
De Strangers,In Mijne Kamion,1981,dbscan,0
Anne Linnet Band,Fordi Fordi,1981,dbscan,0
Fünf Freunde,016 - auf dem Leuchtturm - Teil 22,1981,dbscan,-1
The Oak Ridge Boys,I Wish You Could Have Turned My Head (And Left My Heart Alone),1981,dbscan,0
George Strait,Every Time You Throw Dirt On Her (You Lose A Little Ground),1981,dbscan,0
