feature,importance
year,0.13981411902714386
duration_ms,0.1029536990835367
acousticness,0.1018299736660064
loudness,0.09493806629271252
speechiness,0.08866556330930137
tempo,0.0860260744965053
danceability,0.08202218235904311
energy,0.08176593701366816
valence,0.08047463739038031
liveness,0.07940497548299234
instrumentalness,0.062104771878709907
