acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,year
-1.0022918233695701,1.4702169258616555,0.18230669057453155,-0.15380555732105294,-0.0931270349997785,0.01835301312023837,-0.09898369719351867,-0.07719285005364217,-0.43719381794454926,0.46853766320877305,6.798908020542014
-0.20876067387052913,-0.09603615105320654,0.01618786669814824,-0.04647899087540164,-0.12466270598060035,-0.14295525895704222,-0.14469966850155788,-0.5399081827450773,-0.24843577336813846,0.36913909602026684,6.498433518404333
-0.09725473487904493,-0.05264726429084875,0.5443004743086923,-0.029651279723105092,0.1444137075077056,0.011440642665450246,-0.3073304075540566,-0.39158640739632433,0.518934594982531,0.06124725892435523,7.078492205511893
0.42579555423833726,-1.31235620552098,-0.03691367513600688,-0.08910503992291699,-0.025027135675814372,0.8569287922512765,0.45767942191381794,0.7995182844307761,0.026148985769062143,-0.181269428163938,6.728370611535146
0.3178331970132598,-1.4877380714301542,-0.16861131459412,-0.19627404960958691,-0.1620455209646784,0.8667182582729589,0.413585495008281,0.309056496054445,0.34905774409130524,-1.1930197611642632,4.306149131232632
0.2528946471233656,-1.9793170557283761,-0.6879551533719247,-0.5903559987661553,-0.41965048621848006,0.7252010606506626,-0.16426081959491778,0.485411904496996,0.5928810460898022,0.4884711190769876,4.364446645957122
0.40848637870420207,0.40216249957550554,0.13591044325592877,-0.049671873535622864,-0.07774414645353754,0.28234585575916316,0.22451936402080883,0.03376688686748604,0.8293229010998421,-0.8506068427326477,6.689970498098866
0.14119282042228265,-0.5841771946441339,0.20946450048018944,0.007978044029306092,0.019186270629266543,0.7489956277499789,-0.11261973695067319,-0.7513113182556959,0.15052570455065087,-4.170200081910902,4.36893923332173
0.5056223098195636,0.13858529440139003,0.16422643095572828,-0.07821951457500262,0.10652509752285337,0.6593410993081521,-0.2718345124664656,0.4786502250356057,0.8827762241183347,0.7123132734533832,6.331851698461409
1.0079824836995985,-0.8485671260093368,-0.22459855924048508,0.07577914963211278,0.32908121914100585,0.15678960713119855,0.08937534840578604,0.07511805887816463,1.575664998722435,0.8764207110347859,5.885467660565989
-0.16327543901221747,-0.15746439969415316,0.015007017387807445,0.04608764764552403,-0.06840045747979284,2.605697487926711,0.3105424765182377,-0.15864957362282261,0.21365990816092842,0.7615229062794302,7.13601481383139
1.5931402377262345,2.659653696231659,0.5188415360416717,-0.29467661627383995,0.022237565232160368,1.5052647122411702,-0.08464311182303834,-0.6564678025944761,0.0255928402161284,-0.11468141325395384,7.460261167476999
