model,split,mae,rmse,r2
linear_regression,validation,14.084500677882104,18.660779411993417,-0.03776159416043878
linear_regression,test,18.04848220394783,22.63728535574417,-0.01905058635132506
random_forest,validation,13.461651034681308,17.19603343593478,0.11875919680230274
random_forest,test,18.833090949440802,22.301953483589617,0.010916712455108057
gradient_boosting,validation,13.755304092772821,17.518248103986554,0.0854248826533246
gradient_boosting,test,19.404608882098312,22.84024141003291,-0.03740522765108634
