,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
acousticness,1.0,-0.0917495004150394,-0.647269308796742,-0.12491001795392861,-0.01827135452740695,-0.4444022233142212,-0.11560776891731787,-0.17784738045152404,-0.1286548188452534
danceability,-0.0917495004150394,1.0,0.11272212279498661,-0.14224085963527391,-0.14792219114939648,0.11890147223104032,0.22282975213267572,-0.10933130136001691,0.4878052215990542
energy,-0.647269308796742,0.11272212279498661,1.0,0.013723868453955101,0.11851603977784433,0.7150577946213704,0.2672111650007323,0.19665881808722818,0.33121411169347864
instrumentalness,-0.12491001795392861,-0.14224085963527391,0.013723868453955101,1.0,-0.06236751133685452,-0.20535064185714993,-0.13023885900460655,0.035655629777977454,-0.14064995470484598
liveness,-0.01827135452740695,-0.14792219114939648,0.11851603977784433,-0.06236751133685452,1.0,0.039152676398043165,0.10692677860488234,-0.005135444932929183,-0.03581127736076554
loudness,-0.4444022233142212,0.11890147223104032,0.7150577946213704,-0.20535064185714993,0.039152676398043165,1.0,0.10899339555266391,0.1384919754227578,0.17898319947990446
speechiness,-0.11560776891731787,0.22282975213267572,0.2672111650007323,-0.13023885900460655,0.10692677860488234,0.10899339555266391,1.0,0.039279869516777456,0.17365713286382353
tempo,-0.17784738045152404,-0.10933130136001691,0.19665881808722818,0.035655629777977454,-0.005135444932929183,0.1384919754227578,0.039279869516777456,1.0,0.07469828844016085
valence,-0.1286548188452534,0.4878052215990542,0.33121411169347864,-0.14064995470484598,-0.03581127736076554,0.17898319947990446,0.17365713286382353,0.07469828844016085,1.0
