,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
acousticness,1.0,-0.1848317413827515,-0.7062579279122247,0.2328955666455721,-0.07806074173929882,-0.5530050951483212,-0.09807816578658961,-0.15013344144563356,-0.20838694102295272
danceability,-0.1848317413827515,1.0,0.10110060577991,-0.30796090427258743,-0.12195413748188218,0.2504158129500343,0.20261811255612225,-0.11357184412148957,0.5243251135662579
energy,-0.7062579279122247,0.10110060577991,1.0,-0.2314482451401422,0.178600535003796,0.7402206367496068,0.13449768079998853,0.20233315411352315,0.31725281129894767
instrumentalness,0.2328955666455721,-0.30796090427258743,-0.2314482451401422,1.0,-0.026222589466332626,-0.4443639892217753,-0.10750193398307896,-0.0814092284201612,-0.25122146865056777
liveness,-0.07806074173929882,-0.12195413748188218,0.178600535003796,-0.026222589466332626,1.0,0.07451633586880078,0.14322595752966413,0.01430490259219747,-0.031011205195426998
loudness,-0.5530050951483212,0.2504158129500343,0.7402206367496068,-0.4443639892217753,0.07451633586880078,1.0,0.11080890168215159,0.17062155978794433,0.2534279944416921
speechiness,-0.09807816578658961,0.20261811255612225,0.13449768079998853,-0.10750193398307896,0.14322595752966413,0.11080890168215159,1.0,0.025292383092832316,0.03161856790752693
tempo,-0.15013344144563356,-0.11357184412148957,0.20233315411352315,-0.0814092284201612,0.01430490259219747,0.17062155978794433,0.025292383092832316,1.0,0.10164480399973627
valence,-0.20838694102295272,0.5243251135662579,0.31725281129894767,-0.25122146865056777,-0.031011205195426998,0.2534279944416921,0.03161856790752693,0.10164480399973627,1.0
